x_coordinate,y_coordinate,time_interval_seconds
226,734,0.017
227,735,0.0161
230,734,0.0499
236,731,0.0163
247,723,0.0175
267,707,0.016
290,689,0.016
337,646,0.016
361,621,0.016
387,598,0.016
410,579,0.016
423,567,0.0162
434,556,0.016
447,542,0.016
462,524,0.016
469,514,0.016
475,506,0.0165
479,502,0.017
481,499,0.016
484,496,0.016
488,489,0.016
491,483,0.0174
495,475,0.0166
498,468,0.017
506,460,0.0165
513,452,0.017
519,444,0.0178
526,436,0.016
537,423,0.016
552,405,0.0165
557,398,0.0165
559,392,0.016
561,388,0.016
563,384,0.0161
565,383,0.0175
565,382,0.0165
