x_coordinate,y_coordinate,time_interval_seconds
235,451,0.016
241,455,0.0168
263,467,0.0175
280,477,0.0161
303,494,0.0165
328,509,0.0169
381,540,0.0177
408,554,0.0157
437,573,0.0166
488,604,0.0166
538,633,0.0154
566,651,0.0172
591,668,0.0164
606,678,0.017
618,688,0.0166
628,693,0.0163
636,697,0.0158
638,699,0.0159
640,701,0.0172
643,703,0.0164
646,705,0.0174
652,711,0.0164
652,711,0.0
656,716,0.0168
662,720,0.0166
667,723,0.016
672,726,0.0166
679,732,0.0164
682,734,0.0164
684,734,0.0155
685,734,0.0168
686,734,0.0172
687,735,0.0163
689,736,0.0167
690,736,0.0168
692,736,0.0176
693,736,0.0165
694,736,0.017
695,736,0.0326
697,736,0.0157
700,737,0.0168
701,738,0.0166
702,738,0.0656
