x_coordinate,y_coordinate,time_interval_seconds
241,679,0.0169
244,678,0.0166
248,676,0.0167
252,673,0.017
261,668,0.016
273,664,0.0176
292,657,0.0168
306,653,0.0165
346,641,0.0177
375,631,0.0159
408,621,0.0167
441,611,0.0161
452,607,0.016
458,605,0.0165
459,604,0.017
460,602,0.018
463,599,0.0172
466,598,0.016
470,595,0.0164
477,592,0.0166
487,587,0.0165
499,582,0.0159
509,578,0.0163
514,575,0.0169
519,573,0.0179
524,571,0.0165
534,568,0.0161
537,566,0.0169
539,565,0.0161
540,565,0.0331
541,563,0.0166
543,563,0.0165
544,562,0.0159
545,562,0.0664
547,562,0.0179
548,561,0.0158
550,560,0.0158
551,560,0.016
