x_coordinate,y_coordinate,time_interval_seconds
240,634,0.0
240,631,0.0149
241,630,0.0163
241,626,0.0166
241,623,0.0168
239,607,0.0175
236,589,0.017
231,573,0.0158
224,545,0.0171
203,479,0.017
186,421,0.017
179,391,0.0161
164,333,0.0168
158,265,0.0181
154,238,0.015
149,217,0.0164
145,206,0.016
137,190,0.0178
130,172,0.0152
111,138,0.0167
105,128,0.0166
101,127,0.1484
97,127,0.0159
96,127,0.0163
92,128,0.0169
90,130,0.016
88,130,0.0166
86,130,0.0171
83,130,0.0163
80,130,0.0181
79,130,0.0158
78,130,0.0507
76,130,0.0157
74,130,0.0161
73,130,0.0169
