x_coordinate,y_coordinate,time_interval_seconds
248,687,0.0158
255,687,0.0165
264,686,0.0173
273,686,0.0168
281,686,0.0177
295,688,0.0161
320,690,0.0166
362,697,0.0159
395,701,0.0169
453,710,0.0166
513,714,0.017
606,716,0.0174
641,717,0.0171
676,720,0.0155
692,723,0.0173
699,725,0.016
702,725,0.017
704,725,0.0163
706,725,0.0171
710,725,0.0174
711,725,0.0162
713,725,0.0154
716,725,0.0166
717,725,0.0172
718,725,0.0161
721,725,0.0177
722,725,0.0176
723,725,0.0158
725,725,0.0166
728,726,0.0176
731,726,0.015
733,726,0.0177
734,727,0.0167
735,727,0.0331
737,727,0.0491
738,728,0.0153
