x_coordinate,y_coordinate,time_interval_seconds
251,530,0.0164
258,530,0.0168
273,533,0.0162
289,538,0.0163
347,556,0.0187
403,567,0.0167
462,578,0.016
545,598,0.0167
572,603,0.0165
711,630,0.0162
790,634,0.016
855,634,0.0162
890,634,0.0167
916,636,0.0164
926,638,0.0161
931,642,0.0162
942,650,0.0166
959,658,0.0162
976,664,0.0162
991,671,0.0166
1004,677,0.0167
1008,681,0.0175
1010,682,0.0169
1016,685,0.0165
1027,693,0.0169
1033,697,0.0162
1039,700,0.0172
1046,701,0.0164
1055,704,0.0164
1062,706,0.0161
1065,706,0.0168
1068,706,0.0162
1069,706,0.0169
1070,706,0.0164
1071,706,0.0324
1072,706,0.0163
1073,705,0.0333
1075,704,0.0168
1075,702,0.0159
1076,701,0.0168
1077,700,0.0344
