x_coordinate,y_coordinate,time_interval_seconds
259,705,0.099
264,704,0.016
272,703,0.0161
283,701,0.0161
317,696,0.0176
317,696,0.0
341,693,0.0164
383,691,0.0158
422,688,0.0163
466,682,0.019
466,682,0.0
502,675,0.0138
541,664,0.0159
577,655,0.0165
615,646,0.017
652,639,0.0165
696,629,0.0159
735,618,0.0161
775,607,0.0165
815,598,0.0167
863,586,0.0164
894,576,0.0162
922,566,0.0173
931,564,0.0158
936,563,0.0169
941,563,0.0162
945,563,0.017
958,561,0.0165
963,559,0.0174
967,558,0.0162
969,558,0.016
971,558,0.0166
972,558,0.1173
973,558,0.016
974,557,0.0336
975,556,0.0501
975,555,0.0168
975,554,0.0493
976,552,0.0335
