x_coordinate,y_coordinate,time_interval_seconds
274,450,0.0806
291,442,0.0166
307,435,0.0163
341,421,0.0165
394,402,0.0167
489,362,0.0172
567,330,0.0159
625,303,0.0164
659,285,0.0169
675,276,0.0166
689,261,0.017
696,251,0.0167
706,237,0.0175
712,225,0.017
713,221,0.0169
714,218,0.0163
715,212,0.0176
721,200,0.0161
729,181,0.0161
732,174,0.0169
733,170,0.0162
734,167,0.016
736,165,0.0159
736,164,0.0161
736,163,0.0159
737,162,0.0172
738,162,0.017
739,159,0.0162
743,155,0.0168
744,153,0.0169
