x_coordinate,y_coordinate,time_interval_seconds
276,292,0.0996
276,312,0.0168
276,327,0.0175
281,368,0.0157
289,452,0.0165
289,494,0.0171
287,548,0.0164
285,582,0.0168
284,619,0.0171
284,638,0.0176
284,648,0.0161
284,658,0.0158
286,670,0.0159
286,674,0.0169
286,675,0.0171
285,677,0.017
285,678,0.0339
283,678,0.0181
282,678,0.0167
281,678,0.0155
280,677,0.0166
279,677,0.034
278,676,0.0165
274,673,0.0156
267,669,0.0175
263,667,0.0158
262,666,0.0163
261,665,0.0839
260,665,0.0537
