x_coordinate,y_coordinate,time_interval_seconds
287,488,0.0
289,488,0.017
293,488,0.0172
307,481,0.0161
327,468,0.0171
351,453,0.0171
374,437,0.0168
406,410,0.0157
428,390,0.0166
458,359,0.0156
497,326,0.0162
519,306,0.0161
530,293,0.0167
536,285,0.016
540,278,0.0165
543,273,0.0166
548,267,0.0161
559,258,0.0161
572,248,0.0159
587,238,0.0165
591,235,0.017
595,231,0.016
596,230,0.0164
598,230,0.0173
604,229,0.017
610,226,0.0158
619,222,0.0168
622,220,0.0168
624,219,0.0157
624,218,0.0324
626,218,0.0181
627,217,0.015
628,216,0.05
