x_coordinate,y_coordinate,time_interval_seconds
301,345,0.0821
306,348,0.018
309,349,0.0165
322,356,0.0168
332,362,0.0165
347,371,0.0168
375,387,0.0165
416,410,0.0166
501,446,0.0165
539,461,0.0161
561,470,0.0166
587,482,0.0175
620,496,0.016
649,509,0.0158
672,520,0.0161
700,536,0.0165
742,560,0.017
785,588,0.016
823,609,0.0175
840,619,0.0159
852,626,0.016
859,628,0.0165
863,631,0.016
866,631,0.016
867,631,0.0333
868,631,0.0175
872,633,0.016
878,636,0.016
885,642,0.0163
887,644,0.0169
889,645,0.0165
890,646,0.0165
895,652,0.017
896,654,0.0176
899,659,0.0159
904,664,0.0165
907,666,0.0175
909,668,0.0165
912,670,0.0175
916,672,0.0168
922,677,0.016
927,681,0.016
935,689,0.0166
937,692,0.0165
938,693,0.017
938,694,0.0163
938,696,0.016
938,697,0.0158
938,698,0.017
