x_coordinate,y_coordinate,time_interval_seconds
310,616,0.0
311,616,0.0167
314,615,0.017
318,613,0.017
333,609,0.0175
369,598,0.0167
458,576,0.0165
529,554,0.0165
583,532,0.017
633,506,0.0165
689,470,0.0165
752,435,0.0168
781,423,0.0165
811,409,0.0167
823,401,0.0166
838,392,0.0169
850,386,0.0171
858,381,0.017
862,379,0.0173
866,377,0.0166
867,376,0.0164
869,376,0.0491
875,374,0.0166
883,374,0.0186
888,373,0.016
895,373,0.0165
898,373,0.017
900,373,0.017
904,373,0.017
909,373,0.0163
913,373,0.016
