x_coordinate,y_coordinate,time_interval_seconds
314,93,0.0151
319,98,0.0162
325,104,0.0181
338,115,0.0177
358,131,0.0158
386,163,0.0175
396,176,0.0171
445,230,0.0172
632,381,0.0174
715,443,0.0168
755,478,0.0149
790,516,0.0172
805,541,0.0166
824,573,0.0175
837,596,0.0177
859,628,0.0174
859,628,0.0
876,647,0.0164
893,661,0.0171
910,674,0.0168
915,678,0.0167
916,679,0.0157
918,680,0.0167
919,680,0.0164
920,681,0.017
921,682,0.0163
923,682,0.018
923,682,0.0
925,681,0.0159
930,675,0.0162
935,667,0.018
936,649,0.0169
936,644,0.0164
936,642,0.0175
936,641,0.0165
936,640,0.0162
934,638,0.0163
933,636,0.017
932,634,0.0165
931,633,0.0166
930,632,0.0166
929,632,0.0165
928,632,0.0171
926,632,0.0496
