x_coordinate,y_coordinate,time_interval_seconds
317,400,0.0164
318,401,0.0165
319,402,0.0168
324,402,0.0164
342,402,0.0158
384,397,0.016
417,393,0.0165
457,388,0.0167
540,375,0.016
637,364,0.0168
754,350,0.0168
832,342,0.0175
875,334,0.0166
896,329,0.0161
901,327,0.0175
902,325,0.0159
905,325,0.0161
910,323,0.0165
912,322,0.016
914,321,0.0161
920,320,0.0173
925,319,0.0166
932,318,0.0163
933,318,0.016
935,318,0.0835
937,320,0.0166
938,321,0.017
940,322,0.0166
942,322,0.0486
944,323,0.0153
945,324,0.0173
946,324,0.0165
946,325,0.0169
