x_coordinate,y_coordinate,time_interval_seconds
317,586,0.068
317,586,0.0
307,591,0.0151
292,601,0.016
278,612,0.0166
255,627,0.0165
221,649,0.0166
172,676,0.0173
152,683,0.016
128,694,0.0156
118,700,0.0168
116,701,0.017
117,701,0.0334
117,699,0.0157
117,698,0.0174
117,697,0.031
116,697,0.034
114,697,0.0169
106,696,0.0168
100,696,0.0171
93,696,0.0161
89,698,0.0164
84,701,0.0161
82,702,0.0165
80,702,0.0169
76,702,0.0161
73,702,0.0162
70,702,0.0169
69,703,0.0162
67,705,0.0196
