x_coordinate,y_coordinate,time_interval_seconds
322,375,0.0
329,371,0.0138
336,367,0.0156
343,362,0.018
360,349,0.0152
372,339,0.016
399,321,0.0171
427,303,0.0161
461,280,0.0166
487,261,0.0161
501,249,0.0163
516,238,0.0159
532,222,0.016
541,210,0.0167
550,201,0.0164
550,201,0.0
554,199,0.0161
557,198,0.016
560,197,0.0165
564,195,0.0161
567,192,0.0162
569,190,0.0171
571,188,0.0156
573,184,0.0165
574,179,0.017
574,178,0.0175
574,176,0.0179
574,175,0.0329
572,173,0.0174
570,169,0.0163
567,167,0.0162
565,166,0.0164
564,164,0.0168
562,163,0.0178
562,163,0.0
561,163,0.015
