x_coordinate,y_coordinate,time_interval_seconds
329,177,0.0481
329,179,0.0173
342,188,0.017
387,216,0.0165
430,242,0.0162
472,265,0.017
520,285,0.0161
576,306,0.0161
685,347,0.0171
717,362,0.0161
739,374,0.0168
748,379,0.0172
749,380,0.0171
749,382,0.0332
753,386,0.0167
755,392,0.0168
757,395,0.0155
759,398,0.0179
762,401,0.0167
765,403,0.0163
769,407,0.0161
773,409,0.0165
775,410,0.0168
780,414,0.0163
783,417,0.0164
785,419,0.0167
786,419,0.0176
787,419,0.0329
788,419,0.0343
789,419,0.0319
