x_coordinate,y_coordinate,time_interval_seconds
330,407,0.0323
335,405,0.0157
344,402,0.0164
354,398,0.0171
363,395,0.0166
384,388,0.0167
403,382,0.0172
467,364,0.0165
541,346,0.0181
659,314,0.0155
731,294,0.016
785,277,0.0161
816,267,0.0176
849,259,0.0163
899,247,0.0161
929,242,0.0165
968,234,0.0173
1002,227,0.0165
1018,223,0.0161
1026,219,0.017
1029,218,0.0169
1033,214,0.0153
1038,211,0.0164
1044,207,0.016
1054,202,0.0181
1057,200,0.016
1058,200,0.0167
1058,199,0.0311
1059,194,0.0163
1060,180,0.0172
1060,172,0.0171
1060,167,0.0173
1060,166,0.0161
1060,164,0.0171
