x_coordinate,y_coordinate,time_interval_seconds
347,257,0.0173
353,257,0.0168
368,257,0.0156
385,261,0.0166
409,271,0.0169
432,283,0.0161
466,299,0.0167
520,318,0.0173
611,341,0.018
682,363,0.0159
723,381,0.0174
753,398,0.016
773,411,0.0154
787,421,0.0164
789,421,0.0165
791,421,0.0164
799,422,0.0167
827,429,0.0175
827,429,0.0
841,433,0.0154
860,439,0.0166
868,443,0.0156
872,443,0.0161
873,444,0.0168
876,445,0.0162
881,445,0.0162
885,446,0.0168
893,446,0.0169
900,446,0.0159
902,446,0.0165
904,445,0.0331
906,444,0.0168
909,442,0.0164
910,441,0.0181
911,440,0.0156
911,439,0.0166
915,438,0.0171
918,437,0.0174
920,437,0.0165
