x_coordinate,y_coordinate,time_interval_seconds
347,626,0.0165
347,625,0.0155
348,623,0.0163
350,622,0.0161
354,619,0.0163
368,605,0.017
389,584,0.0175
412,557,0.0165
456,513,0.0179
484,486,0.0166
502,468,0.0168
522,446,0.0157
532,437,0.0169
541,424,0.0175
544,419,0.0158
551,412,0.0165
562,401,0.0157
576,387,0.0162
589,369,0.0166
591,363,0.0159
591,362,0.0157
592,360,0.0175
593,358,0.0164
594,354,0.0175
597,350,0.0161
600,344,0.0165
604,339,0.0178
606,334,0.0161
606,333,0.0166
607,331,0.016
607,329,0.0163
608,327,0.0168
608,326,0.0159
609,325,0.016
611,324,0.048
614,322,0.0157
616,320,0.0167
