x_coordinate,y_coordinate,time_interval_seconds
347,689,0.0336
347,685,0.0175
347,681,0.0165
348,673,0.016
349,639,0.016
350,605,0.0162
350,534,0.016
350,466,0.0164
352,423,0.018
367,323,0.0175
380,244,0.017
381,229,0.016
381,214,0.016
381,202,0.0165
381,202,0.0
379,194,0.0165
375,179,0.0166
368,158,0.016
362,143,0.0168
355,119,0.0175
352,109,0.0164
349,102,0.0165
347,100,0.0165
344,96,0.0175
343,91,0.0161
341,85,0.016
338,81,0.0161
336,79,0.0158
335,77,0.0163
334,77,0.0166
333,74,0.016
332,69,0.0164
330,67,0.016
330,64,0.016
328,61,0.016
328,60,0.0165
327,59,0.0176
