x_coordinate,y_coordinate,time_interval_seconds
355,465,0.0323
369,462,0.016
388,460,0.0162
423,454,0.0162
442,451,0.0158
489,442,0.016
526,433,0.0163
600,412,0.0173
655,398,0.0168
721,384,0.0164
776,370,0.0159
826,357,0.0162
876,341,0.0162
900,330,0.0168
936,320,0.0164
988,306,0.0162
1024,297,0.0176
1054,285,0.0165
1058,282,0.0172
1060,276,0.0166
1064,267,0.0166
1073,256,0.0161
1080,250,0.0165
1085,245,0.0158
1090,238,0.0173
1095,234,0.0165
1099,229,0.0153
1117,218,0.0167
1126,213,0.0164
1134,206,0.0168
1140,200,0.0168
1142,196,0.0153
1143,191,0.017
1144,190,0.0161
1145,189,0.0167
