x_coordinate,y_coordinate,time_interval_seconds
353,430,0.0345
360,430,0.0166
370,430,0.0161
404,427,0.0166
442,421,0.0164
479,421,0.017
533,422,0.0165
586,428,0.0156
641,435,0.0171
720,441,0.0163
738,443,0.0159
743,443,0.0156
744,445,0.0341
747,447,0.0173
749,448,0.0161
749,449,0.0667
750,450,0.0333
753,452,0.017
764,455,0.0158
771,456,0.0163
783,456,0.0159
789,456,0.0168
797,458,0.0164
805,461,0.0168
812,465,0.0166
813,465,0.0166
813,464,0.051
813,462,0.0165
813,461,0.0156
814,461,0.0167
814,460,0.0167
816,459,0.0163
818,458,0.0171
819,457,0.0175
821,457,0.017
822,457,0.0165
823,457,0.05
823,456,0.0166
824,456,0.0343
