x_coordinate,y_coordinate,time_interval_seconds
359,498,0.0336
360,496,0.0166
362,493,0.0168
366,488,0.0175
375,471,0.016
383,452,0.0165
391,438,0.0165
401,418,0.0165
413,397,0.0159
429,370,0.017
438,353,0.017
446,338,0.0161
457,318,0.0166
465,301,0.016
475,280,0.0162
485,261,0.0175
494,245,0.0158
501,232,0.0165
512,215,0.0161
514,210,0.0165
530,182,0.0166
534,172,0.0175
540,161,0.0165
544,152,0.017
546,147,0.0165
546,145,0.016
548,142,0.0168
549,139,0.0164
551,134,0.0166
556,125,0.0165
561,117,0.0171
566,109,0.0172
572,99,0.0159
579,85,0.016
583,76,0.0161
585,71,0.0162
588,65,0.0163
589,63,0.0165
590,61,0.0166
