x_coordinate,y_coordinate,time_interval_seconds
366,401,0.017
381,406,0.017
395,410,0.015
411,415,0.0177
430,421,0.0167
464,433,0.0159
509,443,0.0161
542,448,0.0167
571,448,0.0158
593,450,0.0159
629,453,0.0168
659,457,0.017
682,458,0.0171
690,458,0.0152
694,460,0.017
698,461,0.0162
706,462,0.0157
718,464,0.0179
732,465,0.0161
739,467,0.0172
744,469,0.0159
753,477,0.0167
759,482,0.0166
764,488,0.0161
766,488,0.0175
768,488,0.0502
771,488,0.0164
772,488,0.0176
774,488,0.017
774,487,0.0163
777,486,0.0167
780,484,0.0159
783,480,0.017
783,479,0.0171
783,478,0.016
