x_coordinate,y_coordinate,time_interval_seconds
371,201,0.0335
375,201,0.0162
378,202,0.0171
384,204,0.017
391,206,0.0157
410,218,0.0175
430,237,0.0167
475,274,0.0166
549,323,0.0176
549,323,0.0
598,348,0.0156
624,363,0.0172
644,381,0.0168
672,412,0.0182
672,412,0.0
688,432,0.0166
697,443,0.0166
701,446,0.0165
704,448,0.0172
706,449,0.0161
708,450,0.016
710,450,0.0164
715,451,0.0176
723,455,0.0171
723,455,0.0
733,462,0.0156
741,466,0.0171
758,475,0.0174
765,477,0.0157
769,478,0.0175
770,478,0.0313
771,478,0.0332
771,477,0.0172
771,476,0.0161
771,474,0.0321
770,472,0.0173
770,470,0.0163
770,469,0.0158
771,469,0.0334
773,468,0.0164
776,467,0.0174
777,467,0.0173
779,467,0.0168
781,469,0.0171
784,470,0.0163
785,470,0.0168
786,470,0.0164
