x_coordinate,y_coordinate,time_interval_seconds
371,596,0.0171
367,597,0.017
360,601,0.016
353,603,0.0165
347,605,0.0168
335,608,0.0165
321,612,0.0163
306,614,0.016
293,616,0.016
272,617,0.016
264,617,0.016
252,616,0.0159
246,615,0.0165
239,613,0.0165
233,611,0.0158
228,610,0.0166
225,610,0.0168
222,610,0.0165
216,610,0.017
206,610,0.0175
200,610,0.0165
197,609,0.0179
193,609,0.0165
191,607,0.016
190,607,0.0161
189,607,0.0325
188,607,0.0165
187,608,0.0165
186,608,0.0165
185,608,0.0165
184,608,0.017
183,608,0.0175
182,608,0.0165
181,608,0.016
178,609,0.0169
171,611,0.017
164,613,0.016
159,613,0.0169
158,613,0.0165
159,613,0.1496
