x_coordinate,y_coordinate,time_interval_seconds
380,496,0.0156
381,496,0.0511
383,496,0.0163
389,494,0.0162
413,489,0.0163
450,480,0.0156
520,465,0.0157
584,447,0.0172
663,432,0.0164
733,418,0.0161
782,408,0.0166
822,398,0.0158
836,392,0.0171
851,387,0.0172
873,378,0.0155
900,370,0.0183
916,366,0.0168
941,362,0.0163
963,359,0.0166
980,355,0.0177
985,354,0.0155
988,355,0.0522
989,355,0.0176
991,356,0.0157
995,356,0.0166
998,356,0.0174
998,356,0.0
999,356,0.0319
1000,356,0.0332
1001,356,0.0162
1005,356,0.0176
1007,355,0.0165
1009,354,0.0177
1013,354,0.0171
1013,354,0.0
1021,354,0.0165
1030,354,0.0172
1035,353,0.0163
1039,351,0.0166
1040,350,0.0169
1039,350,0.0328
1036,350,0.0171
1035,350,0.0166
