x_coordinate,y_coordinate,time_interval_seconds
392,620,0.0142
391,622,0.0172
391,624,0.016
392,624,0.0336
395,623,0.0166
404,621,0.0166
420,616,0.0158
456,603,0.0158
552,564,0.0182
633,529,0.016
729,494,0.0164
867,445,0.0178
939,407,0.0167
974,382,0.0154
990,368,0.0169
997,360,0.016
1000,357,0.0165
1002,351,0.0167
1004,346,0.0189
1008,339,0.0164
1017,326,0.0177
1021,318,0.0142
1024,312,0.0169
1028,306,0.0172
1036,296,0.0174
1039,289,0.015
1043,282,0.0168
1045,277,0.0156
1048,273,0.0168
1049,267,0.0168
1049,263,0.016
1049,255,0.0169
1049,252,0.0163
1049,251,0.0162
