x_coordinate,y_coordinate,time_interval_seconds
407,585,0.001
404,582,0.0145
402,578,0.0165
400,575,0.0165
395,564,0.017
390,552,0.0168
378,530,0.0175
343,464,0.0165
314,413,0.0169
303,396,0.017
297,384,0.018
292,375,0.017
290,371,0.0175
288,367,0.0166
284,362,0.0173
281,357,0.0165
279,355,0.017
277,352,0.017
272,346,0.017
264,339,0.0169
262,336,0.0161
257,333,0.016
250,329,0.017
245,327,0.018
243,325,0.017
237,321,0.0165
231,316,0.0166
224,311,0.0161
223,310,0.0165
223,309,0.0807
