x_coordinate,y_coordinate,time_interval_seconds
417,217,0.0476
437,235,0.0164
459,253,0.0156
484,274,0.0169
504,293,0.0176
538,323,0.016
588,366,0.0158
649,415,0.0166
681,443,0.0167
702,467,0.0166
715,486,0.016
726,501,0.0163
738,515,0.016
738,516,0.0165
743,518,0.0818
748,520,0.0163
752,523,0.017
761,531,0.0165
771,540,0.0156
778,545,0.0164
781,546,0.0167
783,549,0.0159
787,551,0.0162
790,554,0.0158
794,556,0.0164
795,558,0.0157
797,559,0.0169
797,560,0.0163
797,562,0.0838
797,563,0.0168
797,564,0.018
