x_coordinate,y_coordinate,time_interval_seconds
417,286,0.0158
420,286,0.0166
425,287,0.0167
431,289,0.0167
442,294,0.0162
457,304,0.0161
490,336,0.0163
567,419,0.0172
614,468,0.0161
681,539,0.0162
740,606,0.0179
778,645,0.0168
846,705,0.0165
868,719,0.0166
876,723,0.0168
878,724,0.0161
883,723,0.0176
893,720,0.016
901,714,0.0168
902,711,0.0168
903,708,0.017
904,708,0.0161
908,708,0.0321
912,709,0.016
914,709,0.0165
915,709,0.0163
916,709,0.0166
917,709,0.0333
918,709,0.0168
919,708,0.0333
921,708,0.0161
921,707,0.0168
922,705,0.0172
923,705,0.0479
924,704,0.0167
926,702,0.0164
928,699,0.0157
929,697,0.017
