x_coordinate,y_coordinate,time_interval_seconds
416,294,0.0
418,293,0.017
421,292,0.0165
426,291,0.017
429,290,0.0163
442,286,0.0168
459,282,0.0165
483,275,0.0164
512,265,0.017
535,256,0.0161
556,246,0.0161
579,235,0.0166
586,231,0.0155
588,229,0.0165
589,227,0.017
590,226,0.0177
593,224,0.0161
598,221,0.0165
604,217,0.0163
609,214,0.0161
617,210,0.0161
620,208,0.016
620,207,0.0166
621,207,0.0326
622,206,0.0173
621,206,0.0165
620,206,0.016
619,207,0.0166
618,208,0.016
617,209,0.0345
