x_coordinate,y_coordinate,time_interval_seconds
416,62,0.017
415,62,0.017
413,65,0.0176
413,77,0.0167
412,110,0.0165
409,152,0.0167
403,220,0.0171
402,257,0.0165
401,284,0.018
405,314,0.0165
413,351,0.0165
419,378,0.016
423,393,0.016
427,408,0.0165
435,430,0.016
438,437,0.016
442,445,0.0165
442,446,0.016
443,448,0.0318
443,451,0.016
444,459,0.0165
444,472,0.0171
443,476,0.0166
443,478,0.016
443,483,0.0165
443,486,0.016
443,493,0.0163
443,496,0.016
443,498,0.017
443,499,0.0164
443,500,0.0165
443,503,0.033
442,506,0.016
442,509,0.0161
442,511,0.0166
442,510,0.0341
442,509,0.0175
