x_coordinate,y_coordinate,time_interval_seconds
418,277,0.0822
418,286,0.0161
418,298,0.0166
424,317,0.0163
429,345,0.0158
438,377,0.0161
452,419,0.0164
458,443,0.0174
469,483,0.0164
484,521,0.016
501,553,0.0159
512,582,0.0165
514,592,0.0165
515,601,0.0163
515,609,0.0164
517,621,0.0161
518,629,0.0163
518,633,0.0166
518,635,0.0171
518,636,0.0162
518,637,0.0168
518,640,0.0169
518,644,0.0171
518,648,0.0166
518,652,0.0173
515,656,0.0166
511,662,0.0184
509,669,0.0162
504,680,0.0161
499,693,0.0166
497,701,0.0175
497,705,0.0155
497,706,0.0171
498,706,0.0655
499,706,0.0835
502,706,0.0165
508,705,0.0174
510,704,0.0161
511,704,0.0166
512,704,0.0339
513,703,0.0156
