x_coordinate,y_coordinate,time_interval_seconds
419,638,0.1111
428,637,0.2301
438,633,0.016
445,631,0.0157
452,630,0.0172
459,627,0.0157
471,622,0.0174
487,615,0.0156
505,609,0.0169
521,604,0.0162
540,596,0.0159
557,588,0.0179
572,584,0.0149
584,579,0.0167
599,574,0.0173
609,571,0.0163
624,565,0.017
633,561,0.0158
644,558,0.0161
659,552,0.0159
669,549,0.0163
685,544,0.0164
709,537,0.0174
717,535,0.0166
721,533,0.0162
726,530,0.0167
736,526,0.0167
746,520,0.0168
756,514,0.0179
763,511,0.0149
768,510,0.0173
771,509,0.0172
772,508,0.0161
773,507,0.0166
775,507,0.017
778,506,0.0174
782,505,0.0172
786,504,0.0178
796,502,0.0178
796,502,0.0
798,500,0.0154
802,499,0.0169
807,497,0.0169
813,496,0.0161
819,493,0.0159
821,492,0.0169
822,492,0.0158
823,492,0.0171
824,492,0.0667
