x_coordinate,y_coordinate,time_interval_seconds
426,366,0.0317
430,364,0.0162
438,361,0.0161
445,359,0.0173
454,357,0.016
472,352,0.0162
486,348,0.0171
512,341,0.0159
543,332,0.0165
597,318,0.0161
679,295,0.0177
743,277,0.0162
799,259,0.0166
888,230,0.0166
1004,181,0.0177
1047,155,0.016
1064,144,0.0164
1076,136,0.0164
1081,130,0.0163
1085,126,0.0158
1100,115,0.0169
1108,108,0.0167
1119,100,0.0166
1134,85,0.0171
1141,76,0.0169
1141,74,0.0172
1141,73,0.0168
1141,71,0.0507
1139,69,0.0156
1137,68,0.0174
1129,63,0.0175
1123,60,0.0159
1120,59,0.0168
1119,59,0.0488
1117,60,0.0179
