x_coordinate,y_coordinate,time_interval_seconds
434,228,0.0152
429,236,0.0175
425,245,0.016
415,272,0.016
409,294,0.0161
394,340,0.016
378,395,0.0167
360,450,0.0163
346,489,0.016
326,537,0.0166
317,557,0.016
312,578,0.017
309,597,0.0165
308,608,0.0169
306,617,0.0164
306,620,0.0165
305,621,0.0175
305,624,0.0333
305,630,0.0161
305,636,0.0174
305,642,0.0165
304,647,0.0163
303,653,0.0165
301,660,0.0165
300,665,0.0165
300,669,0.0169
300,672,0.0176
299,672,0.0159
300,672,0.0999
