x_coordinate,y_coordinate,time_interval_seconds
450,117,0.0
457,120,0.0132
468,127,0.0173
491,139,0.0166
529,162,0.0164
573,196,0.0159
624,241,0.0163
659,272,0.0158
721,318,0.0164
778,353,0.0166
808,375,0.0158
852,426,0.0172
852,426,0.0
865,446,0.0163
876,463,0.0166
887,478,0.0167
904,495,0.0169
929,512,0.017
943,520,0.0169
965,530,0.0177
979,536,0.0178
991,541,0.016
992,541,0.0174
993,541,0.0336
995,543,0.0159
999,545,0.0162
1001,546,0.017
1007,548,0.0159
1010,549,0.0161
1025,551,0.0167
1031,551,0.0164
1034,552,0.017
1035,553,0.0158
1036,554,0.0164
1039,556,0.0171
1040,556,0.0169
1041,556,0.0336
1042,556,0.0842
1042,557,0.0318
1043,557,0.0174
1046,557,0.0489
1050,557,0.0168
1054,558,0.0163
1056,558,0.0168
1057,558,0.0163
1058,559,0.0165
1061,561,0.0158
1067,563,0.0163
1070,564,0.0163
1073,565,0.0159
1076,567,0.0164
1075,567,0.0338
1072,567,0.0165
