x_coordinate,y_coordinate,time_interval_seconds
456,295,0.0332
463,310,0.0171
477,336,0.0159
491,361,0.0174
507,393,0.0165
519,426,0.0173
529,459,0.0158
536,483,0.0169
544,507,0.0175
551,534,0.016
555,546,0.0165
556,556,0.017
556,564,0.0175
557,574,0.0159
559,586,0.017
561,590,0.0167
561,592,0.0169
564,597,0.0173
566,598,0.0159
567,600,0.0178
569,602,0.0166
572,607,0.0162
578,614,0.0172
582,619,0.017
588,623,0.0164
589,624,0.0167
595,627,0.0167
599,629,0.0167
602,631,0.0166
605,632,0.0158
606,633,0.0173
607,633,0.0168
608,633,0.016
608,634,0.1342
609,634,0.0161
610,636,0.0166
611,637,0.0175
613,637,0.0197
