x_coordinate,y_coordinate,time_interval_seconds
455,250,0.015
455,254,0.0165
446,265,0.017
438,277,0.0173
426,294,0.0165
408,313,0.0168
389,327,0.0165
369,340,0.0166
341,362,0.017
332,370,0.0177
312,388,0.0166
307,392,0.0171
304,394,0.017
294,397,0.017
284,401,0.0161
281,403,0.0163
243,420,0.0157
233,425,0.017
212,437,0.016
203,444,0.0159
187,461,0.0166
181,471,0.0165
179,475,0.0166
180,475,0.0336
180,476,0.0322
181,476,0.0165
182,477,0.0169
184,477,0.0813
187,477,0.0161
193,474,0.0213
