x_coordinate,y_coordinate,time_interval_seconds
457,372,0.0325
454,370,0.0491
447,369,0.0165
431,367,0.016
402,361,0.0166
378,356,0.0165
331,351,0.017
306,350,0.0161
289,350,0.0161
285,350,0.0161
284,350,0.0165
283,350,0.0163
274,350,0.016
267,349,0.016
262,349,0.0173
257,349,0.0161
251,349,0.016
246,349,0.016
244,349,0.0176
236,349,0.017
233,348,0.0166
230,347,0.0174
229,346,0.016
228,346,0.016
228,345,0.016
227,345,0.0163
226,345,0.0185
225,345,0.016
224,345,0.033
