x_coordinate,y_coordinate,time_interval_seconds
463,498,0.0851
484,493,0.0173
537,477,0.0157
595,460,0.0176
715,435,0.0161
793,422,0.0167
872,410,0.0162
928,399,0.0166
1038,375,0.0171
1084,367,0.018
1103,364,0.0161
1108,364,0.0163
1115,364,0.0172
1122,366,0.0179
1130,368,0.0178
1137,369,0.0166
1138,369,0.0165
1136,373,0.0818
1126,382,0.0166
1119,388,0.0171
1112,393,0.0165
1109,395,0.0159
1107,396,0.0171
1106,396,0.0167
1104,396,0.0181
1103,396,0.015
1101,396,0.0171
1099,396,0.05
1098,396,0.0166
1096,396,0.0168
1094,396,0.0498
1091,396,0.0167
1089,398,0.016
1086,400,0.0171
1085,401,0.017
