x_coordinate,y_coordinate,time_interval_seconds
465,688,0.0
466,687,0.0158
464,685,0.0332
461,683,0.0161
453,676,0.0161
425,663,0.0158
382,652,0.0165
332,643,0.0164
290,635,0.016
247,626,0.0165
206,617,0.0166
183,610,0.0164
173,608,0.0166
162,604,0.016
158,602,0.016
156,602,0.016
152,601,0.0159
141,597,0.0166
140,596,0.0165
135,593,0.0163
132,591,0.0165
127,589,0.0163
119,584,0.0167
115,582,0.0175
95,573,0.0173
74,569,0.017
67,569,0.0178
65,569,0.0158
63,569,0.016
62,569,0.1001
61,569,0.0499
60,569,0.016
58,570,0.0165
57,570,0.0164
