x_coordinate,y_coordinate,time_interval_seconds
466,457,0.0
470,451,0.0165
473,448,0.017
479,442,0.0174
481,441,0.016
482,439,0.0168
493,424,0.0165
506,413,0.016
514,406,0.0154
549,373,0.0171
580,343,0.017
606,320,0.0167
646,285,0.017
667,269,0.0163
695,249,0.0167
745,209,0.0169
751,204,0.0175
753,201,0.0168
758,199,0.0159
764,195,0.0161
769,189,0.0168
773,185,0.0182
778,180,0.0161
781,175,0.0174
783,170,0.0168
786,166,0.0158
789,159,0.0158
791,156,0.0172
794,148,0.0161
795,144,0.017
795,143,0.05
795,142,0.0166
795,139,0.0174
794,138,0.0169
794,137,0.0161
