x_coordinate,y_coordinate,time_interval_seconds
480,535,0.0318
480,534,0.0154
477,530,0.0155
474,526,0.0164
466,513,0.0158
462,507,0.0161
451,496,0.0163
438,483,0.0163
420,465,0.0167
399,443,0.0168
359,396,0.0169
338,370,0.0159
279,314,0.0166
256,285,0.0153
225,254,0.0161
211,239,0.0181
207,233,0.015
203,225,0.0165
198,217,0.0157
189,205,0.0166
177,190,0.0165
171,181,0.017
171,181,0.0
167,176,0.0155
164,171,0.017
160,161,0.0173
146,137,0.0168
133,122,0.0161
108,96,0.017
93,80,0.0158
70,64,0.0175
49,55,0.017
49,55,0.0
47,55,0.0158
47,60,0.1162
49,68,0.0156
54,78,0.0178
54,78,0.0
57,81,0.0144
59,84,0.0159
62,84,0.0165
63,85,0.0164
65,87,0.0344
68,91,0.0158
70,93,0.0166
71,94,0.0176
