x_coordinate,y_coordinate,time_interval_seconds
481,723,0.0825
495,716,0.0175
515,708,0.0163
569,685,0.0162
629,659,0.0166
737,606,0.0166
798,565,0.017
843,531,0.0177
881,499,0.0168
921,460,0.0172
943,429,0.0165
954,408,0.0169
961,390,0.0162
965,382,0.0171
970,376,0.0166
974,372,0.016
982,363,0.0169
989,353,0.0174
996,339,0.017
998,334,0.0167
1004,328,0.0163
1010,324,0.0161
1018,319,0.0157
1027,313,0.0171
1031,308,0.0163
1034,307,0.0157
1038,304,0.0156
1042,303,0.017
1045,303,0.0164
1051,301,0.0156
1054,301,0.0165
1058,301,0.0162
1061,300,0.0174
1061,299,0.0163
1062,299,0.0503
1063,299,0.0156
