x_coordinate,y_coordinate,time_interval_seconds
493,81,0.0333
482,92,0.067
473,104,0.016
457,126,0.0168
432,160,0.0164
405,201,0.0159
375,247,0.0168
346,297,0.0162
334,323,0.0169
324,345,0.0172
314,368,0.017
298,405,0.0166
285,437,0.016
272,461,0.016
262,478,0.016
252,491,0.0166
247,499,0.0167
244,507,0.0161
242,511,0.017
241,515,0.0165
238,520,0.0335
236,522,0.016
236,523,0.0161
236,524,0.0165
233,527,0.0173
228,533,0.0165
228,534,0.2956
225,536,0.0164
224,537,0.0161
223,538,0.0167
222,542,0.0165
222,544,0.018
220,548,0.0157
214,558,0.0172
214,558,0.0
210,566,0.0161
208,571,0.016
207,574,0.016
206,576,0.0165
205,578,0.017
204,583,0.0164
205,583,0.081
205,582,0.0164
205,581,0.0326
206,581,0.017
