x_coordinate,y_coordinate,time_interval_seconds
502,501,0.0345
506,499,0.0161
515,491,0.016
526,482,0.0167
538,474,0.0167
568,455,0.017
589,440,0.0175
609,424,0.0161
632,407,0.0162
661,387,0.0167
669,382,0.016
674,379,0.0165
676,376,0.017
680,374,0.0176
686,370,0.0161
699,367,0.0163
723,359,0.0168
745,351,0.0165
763,344,0.016
775,337,0.0159
775,337,0.0
775,336,0.0165
774,335,0.1343
772,333,0.0169
770,332,0.016
768,330,0.017
765,328,0.017
762,326,0.017
758,321,0.0176
755,318,0.0165
751,315,0.0175
750,314,0.0165
