x_coordinate,y_coordinate,time_interval_seconds
504,418,0.0159
505,418,0.0156
508,420,0.017
511,422,0.0172
513,424,0.0158
523,426,0.0161
582,431,0.0165
669,436,0.017
699,439,0.0177
713,440,0.0151
719,441,0.0176
723,443,0.0161
736,443,0.0165
754,443,0.0171
769,443,0.0167
784,444,0.0165
803,444,0.0172
815,444,0.0173
822,445,0.0171
823,445,0.0156
824,446,0.0676
824,447,0.048
818,451,0.0163
813,453,0.0162
806,453,0.0161
800,454,0.0158
794,454,0.016
788,455,0.0164
786,455,0.0161
