x_coordinate,y_coordinate,time_interval_seconds
505,78,0.0314
505,78,0.0
506,83,0.017
507,86,0.0173
508,92,0.0173
510,119,0.0163
515,155,0.0163
522,210,0.0167
529,271,0.0167
536,306,0.0164
544,336,0.0169
547,349,0.016
550,361,0.0174
550,368,0.0158
550,384,0.0182
550,384,0.0
550,397,0.0155
550,409,0.0165
551,419,0.0174
551,418,0.0492
551,414,0.0161
551,410,0.0159
551,406,0.0171
551,401,0.017
551,401,0.0
550,398,0.0156
550,396,0.0172
550,394,0.016
550,391,0.0159
550,390,0.0162
550,389,0.0318
550,388,0.0164
551,388,0.0177
551,387,0.0157
