x_coordinate,y_coordinate,time_interval_seconds
509,730,0.0
512,729,0.0145
521,726,0.0173
535,720,0.0158
563,709,0.0172
596,694,0.0165
642,672,0.0165
683,655,0.0162
734,641,0.0164
804,614,0.0162
840,599,0.0162
857,590,0.0168
870,581,0.0166
873,579,0.017
874,577,0.0177
877,574,0.0161
885,567,0.016
895,561,0.0164
908,555,0.0168
923,550,0.0165
935,545,0.0169
951,540,0.0171
956,536,0.0166
958,534,0.0161
963,532,0.018
963,532,0.0
966,530,0.0163
967,529,0.0174
969,529,0.0158
971,529,0.0158
974,528,0.0184
978,526,0.0153
981,526,0.0168
982,525,0.049
984,525,0.0171
986,525,0.0157
986,524,0.016
