x_coordinate,y_coordinate,time_interval_seconds
525,576,0.0
525,575,0.0131
524,574,0.0166
523,572,0.0172
522,571,0.0179
515,568,0.016
493,567,0.017
457,564,0.0172
412,562,0.0157
313,553,0.0172
262,548,0.0161
228,543,0.0174
201,539,0.0166
181,538,0.0157
162,536,0.0169
154,535,0.0162
146,533,0.0164
141,531,0.0184
134,525,0.0162
130,522,0.0171
130,520,0.0173
129,517,0.0178
129,517,0.0
129,514,0.0166
129,512,0.0158
127,508,0.0177
124,497,0.0185
124,497,0.0
123,490,0.0145
118,483,0.016
111,475,0.0159
108,473,0.016
105,473,0.0171
103,473,0.0166
102,473,0.017
100,473,0.0162
99,472,0.017
98,471,0.0161
95,470,0.0164
88,468,0.0171
76,465,0.0161
68,465,0.016
66,465,0.0159
65,465,0.0161
64,465,0.0991
63,465,0.017
62,465,0.0167
61,465,0.0168
