x_coordinate,y_coordinate,time_interval_seconds
529,292,0.0326
541,290,0.017
558,287,0.0166
583,281,0.0164
605,278,0.0176
626,276,0.0165
653,272,0.0163
680,268,0.0161
705,264,0.0161
719,260,0.0163
726,258,0.0156
729,257,0.017
731,257,0.0166
732,256,0.0162
735,254,0.0168
740,252,0.0174
742,251,0.0165
744,250,0.017
746,250,0.0355
749,250,0.0151
752,250,0.0154
759,250,0.0183
761,250,0.0152
764,250,0.0328
768,250,0.0167
778,251,0.0171
781,251,0.0176
783,252,0.0508
785,252,0.0169
786,253,0.0159
