x_coordinate,y_coordinate,time_interval_seconds
531,393,0.0155
534,393,0.016
543,393,0.016
562,394,0.0167
588,396,0.016
634,399,0.016
634,399,0.0
695,404,0.0165
715,407,0.0165
767,413,0.0169
823,424,0.0165
868,431,0.0168
901,432,0.016
926,432,0.016
941,433,0.0165
948,433,0.0165
958,435,0.0165
979,438,0.0166
995,440,0.017
1005,441,0.0163
1007,441,0.016
1010,443,0.0165
1013,447,0.0155
1021,453,0.0165
1028,455,0.0165
1040,458,0.016
1044,459,0.016
1047,459,0.016
1048,460,0.0336
1051,460,0.017
1057,460,0.0173
1067,460,0.0166
1071,460,0.0175
1075,460,0.016
1079,460,0.0165
1090,465,0.0175
1098,467,0.016
1101,467,0.0165
1104,469,0.017
1105,469,0.0164
1104,468,0.0316
1102,467,0.0176
1101,466,0.0165
