x_coordinate,y_coordinate,time_interval_seconds
521,414,0.0663
508,405,0.016
491,392,0.0162
476,378,0.0165
438,346,0.0164
363,286,0.0169
326,255,0.0165
303,228,0.017
288,205,0.0166
276,188,0.0155
268,177,0.0162
261,165,0.017
257,162,0.0162
251,156,0.0156
243,152,0.016
232,150,0.0171
221,148,0.0167
216,148,0.017
214,148,0.0165
211,148,0.0167
204,148,0.0172
192,148,0.0163
175,146,0.0161
163,142,0.0155
156,139,0.016
154,138,0.0158
154,137,0.034
152,136,0.017
151,136,0.0322
150,135,0.016
149,134,0.0167
148,132,0.0178
146,129,0.0173
141,121,0.0175
137,119,0.0167
135,117,0.0163
134,117,0.016
131,117,0.0338
130,117,0.0173
129,117,0.016
