x_coordinate,y_coordinate,time_interval_seconds
535,628,0.0
534,627,0.0165
533,623,0.0166
529,617,0.016
526,614,0.0165
523,610,0.0166
521,607,0.016
518,601,0.016
510,589,0.016
501,574,0.0165
493,561,0.0175
477,538,0.016
451,503,0.0165
427,467,0.0176
418,454,0.016
404,430,0.0165
391,409,0.017
375,386,0.0163
370,379,0.0159
369,377,0.0165
368,376,0.0497
368,375,0.0155
366,372,0.0165
363,368,0.0165
360,364,0.016
356,357,0.017
347,344,0.0165
343,339,0.0165
340,335,0.017
337,332,0.0165
335,329,0.017
334,327,0.0175
334,326,0.017
333,326,0.016
