x_coordinate,y_coordinate,time_interval_seconds
56,41,0.0164
58,43,0.0158
65,48,0.0173
74,54,0.0162
83,60,0.0176
98,73,0.0159
129,106,0.0167
148,127,0.0175
175,152,0.017
215,187,0.0171
282,251,0.0161
332,302,0.0156
375,347,0.0165
418,392,0.0166
426,399,0.0159
464,436,0.0174
482,456,0.0157
493,471,0.0159
511,492,0.0167
522,505,0.0168
534,518,0.0156
544,532,0.0174
553,549,0.0157
563,564,0.0158
570,575,0.0171
576,583,0.0162
580,590,0.016
589,604,0.0168
598,614,0.017
605,619,0.0166
610,622,0.0161
614,624,0.0167
619,627,0.0167
623,630,0.0165
627,632,0.0158
632,633,0.0165
635,635,0.016
642,639,0.0163
648,644,0.0166
653,647,0.0176
655,647,0.0163
660,648,0.0176
661,649,0.016
664,650,0.0166
665,650,0.0173
666,650,0.017
667,650,0.017
669,650,0.0171
672,650,0.0155
673,650,0.0167
674,650,0.0171
674,649,0.017
675,648,0.0338
675,648,0.0
676,648,0.0158
677,647,0.0338
678,647,0.0163
679,647,0.0159
680,647,0.0165
