x_coordinate,y_coordinate,time_interval_seconds
548,497,0.0166
555,491,0.0167
566,480,0.0183
572,470,0.0157
582,442,0.017
589,415,0.0161
596,386,0.0159
612,347,0.017
632,314,0.016
652,282,0.018
653,277,0.0168
653,276,0.017
653,275,0.0172
654,271,0.0172
656,266,0.016
658,263,0.016
658,262,0.0167
658,260,0.1345
653,257,0.0161
652,255,0.0162
651,254,0.0167
651,253,0.0168
650,252,0.0162
650,251,0.0166
646,245,0.0167
643,243,0.0161
641,239,0.0171
641,238,0.0171
640,238,0.0168
640,237,0.0163
