x_coordinate,y_coordinate,time_interval_seconds
538,468,0.0795
524,479,0.017
494,509,0.0175
471,539,0.0165
455,565,0.0174
427,607,0.0163
409,633,0.0165
397,648,0.0164
386,667,0.0159
377,679,0.0163
370,687,0.0158
359,698,0.0161
351,709,0.0165
349,714,0.016
345,719,0.0167
342,723,0.0179
338,725,0.0157
338,726,0.0173
337,727,0.0331
336,728,0.0167
335,729,0.0169
334,730,0.0162
333,731,0.0169
332,732,0.016
332,733,0.0332
330,734,0.0337
329,735,0.0158
328,737,0.0168
322,742,0.0164
319,747,0.0169
316,750,0.0164
314,752,0.0166
314,753,0.0163
314,752,0.0486
313,752,0.017
