x_coordinate,y_coordinate,time_interval_seconds
550,544,0.016
551,539,0.0165
552,536,0.0166
562,520,0.0165
569,507,0.0166
577,487,0.017
584,458,0.017
592,422,0.017
592,422,0.0
598,394,0.0155
608,365,0.016
618,340,0.0167
626,323,0.0165
630,313,0.0169
630,312,0.0169
630,310,0.0497
630,306,0.0167
630,303,0.0176
631,301,0.0165
632,298,0.016
637,290,0.0165
639,286,0.0166
642,283,0.0165
644,281,0.0171
645,279,0.0165
649,274,0.0165
652,270,0.0166
654,268,0.0166
655,265,0.017
