x_coordinate,y_coordinate,time_interval_seconds
556,142,0.0
558,146,0.0169
560,149,0.016
561,152,0.0161
563,157,0.0159
567,166,0.0162
580,230,0.0171
591,274,0.0159
599,330,0.0156
604,367,0.0159
610,416,0.0171
615,460,0.0163
624,518,0.0169
628,541,0.0171
629,554,0.016
629,566,0.0161
629,579,0.0177
629,589,0.0164
629,594,0.0169
629,598,0.0166
629,617,0.0172
629,617,0.0
631,628,0.0168
631,631,0.0161
631,634,0.0671
632,639,0.016
633,643,0.0163
633,646,0.0178
635,646,0.0162
636,648,0.0152
637,648,0.0179
638,648,0.016
640,655,0.0176
640,655,0.0
642,664,0.0155
643,668,0.0177
643,669,0.0168
643,667,0.0336
