x_coordinate,y_coordinate,time_interval_seconds
556,526,0.0165
554,526,0.0171
550,524,0.016
542,521,0.0171
533,518,0.0162
520,513,0.0171
503,506,0.0164
479,492,0.0171
445,475,0.0162
427,467,0.0165
402,457,0.016
386,451,0.0166
370,447,0.016
341,442,0.0167
326,440,0.016
316,438,0.0161
312,438,0.0161
309,437,0.0166
306,437,0.016
303,437,0.016
303,438,0.016
302,438,0.0325
301,438,0.0165
300,438,0.0159
299,438,0.0167
297,438,0.0183
296,438,0.0326
294,438,0.0331
293,439,0.0171
292,439,0.0496
