x_coordinate,y_coordinate,time_interval_seconds
566,723,0.0
565,723,0.0168
563,722,0.0169
560,718,0.0166
553,712,0.0165
523,689,0.0163
492,666,0.0161
447,633,0.0167
413,604,0.016
370,568,0.0157
293,513,0.0171
262,485,0.0156
224,450,0.0164
192,413,0.017
176,390,0.0163
167,366,0.016
167,342,0.017
166,331,0.0164
165,315,0.0165
165,310,0.0158
165,303,0.0173
167,284,0.017
168,273,0.0169
168,267,0.0151
168,260,0.0157
167,249,0.0173
156,227,0.0179
154,225,0.0161
153,223,0.0161
149,220,0.016
143,211,0.0175
136,204,0.0148
125,192,0.0162
119,185,0.0157
113,179,0.0166
109,176,0.0172
109,175,0.0165
